url, time, page_size, depth, page_status
https://www.consumer.org.nz, 01:12:06 09/27/2024, None, 0, 403
https://www.anz.co.nz, 01:12:08 09/27/2024, 340808, 0, 200
https://www.uniline.co.nz, 01:12:14 09/27/2024, 30676, 0, 200
https://www.mpages.co.nz, 01:12:17 09/27/2024, 43357, 0, 200
https://www.thepost.co.nz, 01:12:19 09/27/2024, 2542, 0, 200
https://www.grantthornton.co.nz, 01:12:20 09/27/2024, None, 0, 403
https://www.sunlive.co.nz, 01:12:22 09/27/2024, None, 0, 404
https://www.healthpoint.co.nz, 01:12:24 09/27/2024, 18462, 0, 200
https://www.fyi.org.nz, 01:12:31 09/27/2024, 15905, 0, 200
https://www.skyline.co.nz, 01:12:33 09/27/2024, 77126, 0, 200
https://www.paypalcasinos.nz, 01:12:33 09/27/2024, None, 0, None
https://www.aa.co.nz, 01:12:35 09/27/2024, 27401, 0, 200
https://www.queenstownnz.co.nz, 01:12:37 09/27/2024, 335755, 0, 200
https://www.bungy.co.nz, 01:12:37 09/27/2024, None, 0, 403
https://www.spark.co.nz, 01:12:40 09/27/2024, 133849, 0, 200
https://www.wintec.ac.nz, 01:12:42 09/27/2024, 163355, 0, 200
https://www.casinodeps.co.nz, 01:12:47 09/27/2024, 202714, 0, 200
https://www.westpac.co.nz, 01:12:48 09/27/2024, 131476, 0, 200
https://www.twb.nz, 01:12:50 09/27/2024, 12843, 0, 200
https://www.prowzer.co.nz, 01:12:53 09/27/2024, 31336, 0, 200
https://comms.anz.co.nz/businsights/article/index.html, 01:12:56 09/27/2024, 396622, 1, 200
http://nzherald.co.nz, 01:12:58 09/27/2024, 1946892, 1, 200
https://queenstown-marathon.co.nz/, 01:13:00 09/27/2024, 56338, 1, 200
http://www.greenstoneentertainment.co.nz, 01:13:04 09/27/2024, 63094, 1, 200
http://visualiser.uniline.co.nz/, 01:13:07 09/27/2024, None, 1, 404
https://status.westpac.co.nz/, 01:13:07 09/27/2024, None, 1, 404
http://www.moneycard.co.nz/, 01:13:09 09/27/2024, 4209, 1, 200
https://www.safergambling.org.nz/, 01:13:10 09/27/2024, None, 1, 403
https://www.legislation.govt.nz/act/public/2003/0051/latest/DLM207497.html, 01:13:10 09/27/2024, None, 1, 403
https://gamblinghelpline.co.nz/, 01:13:13 09/27/2024, 13594, 1, 200
https://www.pgf.nz/, 01:13:15 09/27/2024, None, 1, 404
https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/journals-and-magazines/social-policy-journal/spj21/21-gambling-in-new-zealand-pages178-201.html, 01:13:18 09/27/2024, 99387, 1, 200
https://www.dia.govt.nz/Services-Casino-and-Non-Casino-Gaming-Prohibited-Gambling, 01:13:21 09/27/2024, 24225, 1, 200
https://portal.zero.govt.nz/3048c5a1b506235bcba9c96fb081b5cd/, 01:13:23 09/27/2024, None, 1, 403
https://xn--tepkenga-szb.ac.nz/, 01:13:30 09/27/2024, None, 1, 404
https://tepūkenga.ac.nz/programme/search, 01:13:30 09/27/2024, None, 1, None
https://casinodeps.co.nz, 01:13:33 09/27/2024, 202714, 1, 200
https://www.govt.nz/, 01:13:33 09/27/2024, None, 1, 403
https://www.xn--tepkenga-szb.ac.nz/terms-of-use, 01:13:35 09/27/2024, None, 1, 404
https://enrol.wintec.ac.nz/arionmain/, 01:13:41 09/27/2024, None, 1, 404
https://fwb.anz.co.nz/calculator/, 01:13:43 09/27/2024, 53575, 1, 200
